symbol,radar,accion,score,discard_code,execution_code,quality,freshness,recent,historical,exec_ready,warnings
ITX.MC,DESCARTAR,DESCARTAR,42.2,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
4GLD.DE,DESCARTAR,DESCARTAR,42.2,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
ADBE,DESCARTAR,DESCARTAR,41.6,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
ADYEN.AS,DESCARTAR,DESCARTAR,41.6,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
LLY,DESCARTAR,DESCARTAR,41.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
RTX,DESCARTAR,DESCARTAR,41.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
ICGA.DE,DESCARTAR,DESCARTAR,39.8,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
DFEN.DE,DESCARTAR,DESCARTAR,39.8,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
9988.HK,DESCARTAR,DESCARTAR,36.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
0700.HK,DESCARTAR,DESCARTAR,36.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
LMT,DESCARTAR,DESCARTAR,36.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
1211.HK,DESCARTAR,DESCARTAR,35.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
INFY,DESCARTAR,DESCARTAR,35.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
RHM.DE,DESCARTAR,DESCARTAR,35.4,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
1810.HK,DESCARTAR,DESCARTAR,35.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
UBER,DESCARTAR,DESCARTAR,35.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
