symbol,radar,accion,score,discard_code,execution_code,entry_max,entry_max_tecnica,entry_max_rr,manda
RACE.MI,VIGILAR,ESPERAR,63.500000,LOW_SCORE,MISSING_RECENT_DATA,356.950012,363.126797,356.950012,rr
RHM.DE,DESCARTAR,DESCARTAR,39.125000,LOW_SCORE,MISSING_RECENT_DATA,1013.000000,1042.185720,1013.000000,rr
RRU.DE,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,MISSING_RECENT_DATA,16.780001,17.046894,16.780001,rr
RTX,DESCARTAR,DESCARTAR,42.250000,LOW_SCORE,BROKER_UNAVAILABLE,193.539993,196.497138,193.539993,rr
SAF.PA,DESCARTAR,DESCARTAR,46.000000,LOW_SCORE,MISSING_RECENT_DATA,328.279994,331.742847,328.279994,rr
SAN.MC,DESCARTAR,DESCARTAR,59.750000,LOW_SCORE,STALE_DATA,12.690000,12.865821,12.690000,rr
SAP.DE,DESCARTAR,DESCARTAR,56.625000,LOW_SCORE,MISSING_RECENT_DATA,186.559998,191.082495,186.559998,rr
SIE.DE,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,MISSING_RECENT_DATA,265.013394,265.013394,265.108749,tecnica
SOL-EUR,DESCARTAR,DESCARTAR,59.492647,LOW_SCORE,PARTIAL_BAR,92.169998,94.730010,92.169998,rr
SU.PA,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,MISSING_RECENT_DATA,279.399994,285.503120,279.399994,rr
SXR8.DE,DESCARTAR,DESCARTAR,53.500000,LOW_SCORE,STALE_DATA,711.840027,716.061455,711.840027,rr
TSLA,DESCARTAR,DESCARTAR,56.625000,LOW_SCORE,EXECUTABLE,366.200012,377.041264,366.200012,rr
TSM,VIGILAR,ESPERAR,67.250000,LOW_SCORE,EXECUTABLE,430.260010,437.917358,430.260010,rr
TTE.PA,VIGILAR,ESPERAR,66.000000,LOW_SCORE,MISSING_RECENT_DATA,80.029999,81.168927,80.029999,rr
UBER,DESCARTAR,DESCARTAR,36.625000,LOW_SCORE,EXECUTABLE,70.870003,72.538592,70.870003,rr
UCG.MI,DESCARTAR,DESCARTAR,51.000000,LOW_SCORE,MISSING_RECENT_DATA,82.919998,84.286605,82.919998,rr
V,DESCARTAR,DESCARTAR,52.250000,LOW_SCORE,EXECUTABLE,369.929993,373.992851,369.929993,rr
VRTX,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,EXECUTABLE,516.340027,524.491456,516.340027,rr
VVSM.DE,DESCARTAR,DESCARTAR,56.000000,LOW_SCORE,STALE_DATA,89.480003,91.169110,89.480003,rr
XOM,DESCARTAR,DESCARTAR,56.000000,LOW_SCORE,EXECUTABLE,163.270004,166.181611,163.270004,rr
ZPRR.DE,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,STALE_DATA,73.480500,73.614644,73.480500,rr
